what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1310507975475
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1310507975475
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1310507975476
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1310507975477
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1310507975478
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1310507975490
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1310507975491
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1310507975493
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1310507975494
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1310507975498
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1310507975500
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1310507975502
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1310507975503
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1310507975508
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1310507975509
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1310507975510
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1310507975510
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1310507975515
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1310507975516
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1310507975521
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1310507975522
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1310507975524
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1310507975525
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1310507975529
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1310507975531
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1310507975532
started,bundle,com.google.gdt.eclipse.designer,2.2.1.r36x201103301817,"com.google.gdt.eclipse.designer",1310507975532
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.2.1.r36x201103301817,"com.google.gdt.eclipse.designer.UiBinder",1310507975539
started,bundle,org.eclipse.wb.core,0.9.0.r36x201103301742,"org.eclipse.wb.core",1310507975540
started,bundle,org.eclipse.wb.core.lib,0.9.0.r36x201103301742,"org.eclipse.wb.core.lib",1310507975541
started,bundle,org.eclipse.wb.core.xml,0.9.0.r36x201103301753,"org.eclipse.wb.core.xml",1310507975541
started,bundle,org.eclipse.wb.os.linux,0.9.0.r36x201103301742,"org.eclipse.wb.os.linux",1310507975542
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.I20110415-0655,"org.eclipse.mylyn.bugzilla.core",1310507975545
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.I20110415-0655,"org.eclipse.mylyn.bugzilla.ui",1310507975546
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.I20110415-0655,"org.eclipse.mylyn.commons.net",1310507975546
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.I20110415-0655,"org.eclipse.mylyn.commons.ui",1310507975547
started,bundle,org.eclipse.mylyn.context.core,3.6.0.I20110415-0655,"org.eclipse.mylyn.context.core",1310507975547
